Titulo,Descricao,Imagem,Quantidade,Preço,Avaliação,Status
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,,,0,28.88,2,In stock
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,,,0,33.14,3,In stock
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",,,0,43.7,2,In stock
House of Leaves,,,0,54.89,1,In stock
Horrible Bear!,,,0,37.52,2,In stock
Holidays on Ice,,,0,51.07,2,In stock
Heir to the Sky,,,0,44.07,4,In stock
Green Eggs and Ham (Beginner Books B-16),,,0,10.79,4,In stock
"Grayson, Vol 3: Nemesis (Grayson #3)",,,0,42.72,1,In stock
Gratitude,,,0,26.66,5,In stock
Gone Girl,,,0,37.6,5,In stock
Golden (Heart of Dread #3),,,0,42.21,4,In stock
Girl in the Blue Coat,,,0,46.83,2,In stock
"Fruits Basket, Vol. 3 (Fruits Basket #3)",,,0,45.17,2,In stock
"Friday Night Lights: A Town, a Team, and a Dream",,,0,51.22,3,In stock
Fire Bound (Sea Haven/Sisters of the Heart #5),,,0,21.28,4,In stock
Fifty Shades Freed (Fifty Shades #3),,,0,15.36,5,In stock
Fellside,,,0,38.62,1,In stock
Extreme Prey (Lucas Davenport #26),,,0,25.4,3,In stock
Eragon (The Inheritance Cycle #1),,,0,43.87,3,In stock
Eclipse (Twilight #3),,,0,18.74,1,In stock
Dune (Dune #1),,,0,54.86,1,In stock
Dracula,,,0,52.62,3,In stock
Do Androids Dream of Electric Sheep? (Blade Runner #1),,,0,51.48,1,In stock
Disrupted: My Misadventure in the Start-Up Bubble,,,0,15.28,5,In stock
Dead Wake: The Last Crossing of the Lusitania,,,0,39.24,5,In stock
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",,,0,17.81,1,In stock
Darkfever (Fever #1),,,0,56.02,1,In stock
Dark Places,,,0,23.9,5,In stock
Crazy Rich Asians (Crazy Rich Asians #1),,,0,49.13,5,In stock
Counting Thyme,,,0,10.62,1,In stock
Cosmos,,,0,36.17,2,In stock
Civilization and Its Discontents,,,0,59.95,2,In stock
Cinder (The Lunar Chronicles #1),,,0,26.09,1,In stock
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,,,0,37.35,2,In stock
Career of Evil (Cormoran Strike #3),,,0,24.72,2,In stock
Breaking Dawn (Twilight #4),,,0,35.28,5,In stock
Brave Enough,,,0,51.32,5,In stock
Boy Meets Boy,,,0,21.12,3,In stock
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",,,0,27.35,2,In stock
Blink: The Power of Thinking Without Thinking,,,0,21.74,5,In stock
Black Flags: The Rise of ISIS,,,0,40.87,1,In stock
"Black Butler, Vol. 1 (Black Butler #1)",,,0,49.31,1,In stock
Big Little Lies,,,0,22.11,1,In stock
Between Shades of Gray,,,0,20.79,5,In stock
Best of My Love (Fool's Gold #20),,,0,27.41,2,In stock
Beowulf,,,0,38.35,2,In stock
Beautiful Creatures (Caster Chronicles #1),,,0,21.55,5,In stock
Awkward,,,0,38.02,2,In stock
Ash,,,0,22.06,4,In stock
Are We There Yet?,,,0,10.66,3,In stock
Are We Smart Enough to Know How Smart Animals Are?,,,0,56.58,1,In stock
Annie on My Mind,,,0,36.83,5,In stock
And Then There Were None,,,0,35.01,2,In stock
A Walk in the Woods: Rediscovering America on the Appalachian Trail,,,0,30.48,4,In stock
A Visit from the Goon Squad,,,0,14.08,5,In stock
A Storm of Swords (A Song of Ice and Fire #3),,,0,31.22,2,In stock
A Heartbreaking Work of Staggering Genius,,,0,54.29,5,In stock
8 Keys to Mental Health Through Exercise,,,0,31.04,1,In stock
#GIRLBOSS,,,0,50.96,1,In stock
"The Suffragettes (Little Black Classics, #96)",,,0,11.89,2,In stock
The Sense of an Ending,,,0,31.38,3,In stock
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",,,0,54.81,1,In stock
The Course of Love,,,0,16.78,3,In stock
Sugar Rush (Offensive Line #2),,,0,24.42,1,In stock
"Saga, Volume 2 (Saga (Collected Editions) #2)",,,0,11.75,3,In stock
"Run, Spot, Run: The Ethics of Keeping Pets",,,0,20.02,1,In stock
New Moon (Twilight #2),,,0,12.86,4,In stock
Life,,,0,31.58,5,In stock
Kindle Paperwhite User's Guide,,,0,34.0,3,In stock
H is for Hawk,,,0,57.42,5,In stock
Girl Online On Tour (Girl Online #2),,,0,53.47,1,In stock
"Fruits Basket, Vol. 2 (Fruits Basket #2)",,,0,11.64,5,In stock
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),,,0,52.88,4,In stock
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",,,0,18.51,4,In stock
While You Were Mine,,,0,41.32,5,In stock
Where Lightning Strikes (Bleeding Stars #3),,,0,39.77,3,In stock
When I'm Gone,,,0,51.96,3,In stock
Ways of Seeing,,,0,39.51,5,In stock
"Vampire Knight, Vol. 1 (Vampire Knight #1)",,,0,15.4,1,In stock
Vampire Girl (Vampire Girl #1),,,0,53.82,2,In stock
Twenty Love Poems and a Song of Despair,,,0,30.95,4,In stock
Travels with Charley: In Search of America,,,0,57.82,5,In stock
Three Wishes (River of Time: California #1),,,0,44.18,2,In stock
This One Moment (Pushing Limits #1),,,0,48.71,1,In stock
The Zombie Room,,,0,19.69,5,In stock
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",,,0,36.52,2,In stock
The Tumor,,,0,41.56,5,In stock
The Story of Hong Gildong,,,0,43.19,4,In stock
The Silent Wife,,,0,12.34,5,In stock
The Silent Twin (Detective Jennifer Knight #3),,,0,36.25,3,In stock
The Selfish Gene,,,0,29.45,1,In stock
The Secret Healer,,,0,34.56,3,In stock
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",,,0,54.12,3,In stock
The Republic,,,0,33.78,3,In stock
The Odyssey,,,0,29.64,3,In stock
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),,,0,57.7,4,In stock
The Nicomachean Ethics,,,0,36.34,1,In stock
The Name of the Wind (The Kingkiller Chronicle #1),,,0,50.59,3,In stock
The Mirror & the Maze (The Wrath and the Dawn #1.5),,,0,29.38,1,In stock
The Little Prince,,,0,45.42,2,In stock
The Light of the Fireflies,,,0,54.43,1,In stock
The Last Girl (The Dominion Trilogy #1),,,0,36.26,2,In stock
The Iliad,,,0,16.16,1,In stock
The Hook Up (Game On #1),,,0,36.29,5,In stock
The Haters,,,0,27.89,5,In stock
The Girl You Lost,,,0,12.29,5,In stock
The Girl In The Ice (DCI Erika Foster #1),,,0,15.85,3,In stock
The End of the Jesus Era (An Investigation #1),,,0,14.4,1,In stock
The Edge of Reason (Bridget Jones #2),,,0,19.18,4,In stock
The Complete Maus (Maus #1-2),,,0,10.64,3,In stock
The Communist Manifesto,,,0,14.76,3,In stock
The Bhagavad Gita,,,0,57.49,3,In stock
The Bette Davis Club,,,0,30.66,3,In stock
The Art of Not Breathing,,,0,40.83,4,In stock
Taking Shots (Assassins #1),,,0,18.88,2,In stock
Starlark,,,0,25.83,3,In stock
"Skip Beat!, Vol. 01 (Skip Beat! #1)",,,0,42.12,3,In stock
Sister Sable (The Mad Queen #1),,,0,13.33,3,In stock
Shatter Me (Shatter Me #1),,,0,42.4,1,In stock
Shameless,,,0,58.35,3,In stock
Shadow Rites (Jane Yellowrock #10),,,0,21.72,4,In stock
Settling the Score (The Summer Games #1),,,0,44.91,2,In stock
Sense and Sensibility,,,0,37.46,1,In stock
"Saga, Volume 1 (Saga (Collected Editions) #1)",,,0,28.48,1,In stock
"Rhythm, Chord & Malykhin",,,0,28.34,2,In stock
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",,,0,46.96,5,In stock
Paradise Lost (Paradise #1),,,0,24.96,1,In stock
"Paper Girls, Vol. 1 (Paper Girls #1-5)",,,0,21.71,4,In stock
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",,,0,29.87,3,In stock
Origins (Alphas 0.5),,,0,28.99,1,In stock
One Second (Seven #7),,,0,52.94,2,In stock
On the Road (Duluoz Legend),,,0,32.36,3,In stock
Old Records Never Die: One Man's Quest for His Vinyl and His Past,,,0,55.66,2,In stock
Off Sides (Off #1),,,0,39.45,5,In stock
Of Mice and Men,,,0,47.11,2,In stock
Myriad (Prentor #1),,,0,58.75,4,In stock
My Perfect Mistake (Over the Top #1),,,0,38.92,2,In stock
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",,,0,39.39,4,In stock
Meditations,,,0,25.89,2,In stock
Matilda,,,0,28.34,1,In stock
Lost Among the Living,,,0,27.7,4,In stock
Lord of the Flies,,,0,24.89,3,In stock
Listen to Me (Fusion #1),,,0,58.99,3,In stock
Kitchens of the Great Midwest,,,0,57.2,5,In stock
Jane Eyre,,,0,38.43,5,In stock
Imperfect Harmony,,,0,34.74,4,In stock
Icing (Aces Hockey #2),,,0,40.44,4,In stock
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",,,0,45.24,3,In stock
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),,,0,34.96,4,In stock
"Giant Days, Vol. 1 (Giant Days #1-4)",,,0,56.76,4,In stock
"Fruits Basket, Vol. 1 (Fruits Basket #1)",,,0,40.28,5,In stock
Frankenstein,,,0,38.0,2,In stock
Forever Rockers (The Rocker #12),,,0,28.8,3,In stock
Fighting Fate (Fighting #6),,,0,39.24,3,In stock
Emma,,,0,32.93,2,In stock
"Eat, Pray, Love",,,0,51.32,3,In stock
Deep Under (Walker Security #1),,,0,47.09,5,In stock
Choosing Our Religion: The Spiritual Lives of America's Nones,,,0,28.42,4,In stock
Charlie and the Chocolate Factory (Charlie Bucket #1),,,0,22.85,3,In stock
Charity's Cross (Charles Towne Belles #4),,,0,41.24,1,In stock
Bright Lines,,,0,39.07,5,In stock
Bridget Jones's Diary (Bridget Jones #1),,,0,29.82,1,In stock
Bounty (Colorado Mountain #7),,,0,37.26,4,In stock
Blood Defense (Samantha Brinkman #1),,,0,20.3,3,In stock
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",,,0,34.65,5,In stock
Beyond Good and Evil,,,0,43.38,1,In stock
Alice in Wonderland (Alice's Adventures in Wonderland #1),,,0,55.53,1,In stock
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",,,0,57.06,4,In stock
A Spy's Devotion (The Regency Spies of London #1),,,0,16.97,5,In stock
1st to Die (Women's Murder Club #1),,,0,53.98,1,In stock
"1,000 Places to See Before You Die",,,0,26.08,5,In stock
